id,type,inScheme,member,prefLabel,topConceptOf,theme,definition,note,hasTopConcept
https://data.omgeving.vlaanderen.be/id/collection/matrix/bodem,http://www.w3.org/2004/02/skos/core#Collection,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,https://data.omgeving.vlaanderen.be/id/concept/matrix/depositie|https://data.omgeving.vlaanderen.be/id/concept/matrix/zwevend_stof,Collectie van matrices m.b.t. bodem.,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/collection/matrix/lucht,http://www.w3.org/2004/02/skos/core#Collection,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,https://data.omgeving.vlaanderen.be/id/concept/matrix/biota|https://data.omgeving.vlaanderen.be/id/concept/matrix/eieren|https://data.omgeving.vlaanderen.be/id/concept/matrix/gewassen|https://data.omgeving.vlaanderen.be/id/concept/matrix/groenten|https://data.omgeving.vlaanderen.be/id/concept/matrix/hard_gesteente|https://data.omgeving.vlaanderen.be/id/concept/matrix/infrastructuur|https://data.omgeving.vlaanderen.be/id/concept/matrix/sediment|https://data.omgeving.vlaanderen.be/id/concept/matrix/strooisel|https://data.omgeving.vlaanderen.be/id/concept/matrix/vilt,Collectie van matrices m.b.t. lucht.,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/collection/matrix/water,http://www.w3.org/2004/02/skos/core#Collection,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,https://data.omgeving.vlaanderen.be/id/concept/matrix/afvalwater|https://data.omgeving.vlaanderen.be/id/concept/matrix/bemalingswater|https://data.omgeving.vlaanderen.be/id/concept/matrix/drinkwater|https://data.omgeving.vlaanderen.be/id/concept/matrix/grondwater|https://data.omgeving.vlaanderen.be/id/concept/matrix/koelwater|https://data.omgeving.vlaanderen.be/id/concept/matrix/oppervlaktewater|https://data.omgeving.vlaanderen.be/id/concept/matrix/waterbodem,Collectie van matrices m.b.t. water.,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/matrix/afvalwater,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,null,Afvalwater,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,http://www.eionet.europa.eu/gemet/concept/15179,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/matrix/bemalingswater,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,null,Bemalingswater,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,http://www.eionet.europa.eu/gemet/concept/15179,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/matrix/biota,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,null,Biota,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,http://www.eionet.europa.eu/gemet/concept/7884,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/matrix/depositie,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,null,Depositie,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,http://www.eionet.europa.eu/gemet/concept/270,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/matrix/drinkwater,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,null,Drinkwater,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,http://www.eionet.europa.eu/gemet/concept/15179,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/matrix/eieren,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,null,Eieren,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,http://www.eionet.europa.eu/gemet/concept/7884,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/matrix/gewassen,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,null,Gewassen,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,http://www.eionet.europa.eu/gemet/concept/7884,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/matrix/groenten,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,null,Groenten,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,http://www.eionet.europa.eu/gemet/concept/7884,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/matrix/grondwater,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,null,Grondwater,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,http://www.eionet.europa.eu/gemet/concept/15179,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/matrix/hard_gesteente,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,null,Hard gesteente,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,http://www.eionet.europa.eu/gemet/concept/7884,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/matrix/infrastructuur,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,null,Infrastructuur,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,http://www.eionet.europa.eu/gemet/concept/7884,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/matrix/koelwater,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,null,Koelwater,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,http://www.eionet.europa.eu/gemet/concept/15179,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/matrix/oppervlaktewater,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,null,Oppervlaktewater,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,http://www.eionet.europa.eu/gemet/concept/15179,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/matrix/sediment,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,null,Sediment,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,http://www.eionet.europa.eu/gemet/concept/7884,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/matrix/strooisel,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,null,Strooisel,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,http://www.eionet.europa.eu/gemet/concept/7884,Afgestorven plantenmateriaal dat op de bodem ligt en nog niet verteerd is.,Afgestorven plantenmateriaal dat op de bodem ligt en nog niet verteerd is.,null
https://data.omgeving.vlaanderen.be/id/concept/matrix/vilt,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,null,Vilt,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,http://www.eionet.europa.eu/gemet/concept/7884,"Afgestorven gazonmaaisel en plantendelen, mossen, mosresten en ander organisch materiaal dat met de wind wordt aangevoerd dat een ondoordringbare laag vormt op de bodem.","Afgestorven gazonmaaisel en plantendelen, mossen, mosresten en ander organisch materiaal dat met de wind wordt aangevoerd dat een ondoordringbare laag vormt op de bodem.",null
https://data.omgeving.vlaanderen.be/id/concept/matrix/waterbodem,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,null,Waterbodem,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,http://www.eionet.europa.eu/gemet/concept/15179,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/matrix/zwevend_stof,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,null,Zwevend stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,http://www.eionet.europa.eu/gemet/concept/270,null,null,null
https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix,http://www.w3.org/2004/02/skos/core#ConceptScheme,null,null,Codelijst matrices.,null,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/matrix/depositie|https://data.omgeving.vlaanderen.be/id/concept/matrix/zwevend_stof|https://data.omgeving.vlaanderen.be/id/concept/matrix/biota|https://data.omgeving.vlaanderen.be/id/concept/matrix/eieren|https://data.omgeving.vlaanderen.be/id/concept/matrix/gewassen|https://data.omgeving.vlaanderen.be/id/concept/matrix/groenten|https://data.omgeving.vlaanderen.be/id/concept/matrix/hard_gesteente|https://data.omgeving.vlaanderen.be/id/concept/matrix/infrastructuur|https://data.omgeving.vlaanderen.be/id/concept/matrix/sediment|https://data.omgeving.vlaanderen.be/id/concept/matrix/strooisel|https://data.omgeving.vlaanderen.be/id/concept/matrix/vilt|https://data.omgeving.vlaanderen.be/id/concept/matrix/afvalwater|https://data.omgeving.vlaanderen.be/id/concept/matrix/bemalingswater|https://data.omgeving.vlaanderen.be/id/concept/matrix/drinkwater|https://data.omgeving.vlaanderen.be/id/concept/matrix/grondwater|https://data.omgeving.vlaanderen.be/id/concept/matrix/koelwater|https://data.omgeving.vlaanderen.be/id/concept/matrix/oppervlaktewater|https://data.omgeving.vlaanderen.be/id/concept/matrix/waterbodem
